epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2297,2.08574,4.49681,2.09133,0.7189,0.29923,0.26055,0.17008,2.12379,4.35151,2.32163,0.00022,0.00022,0.00022
2,43.0486,1.9041,3.07527,1.92221,0.72567,0.21681,0.21824,0.1278,2.28766,3.97323,2.51482,0.000447216,0.000447216,0.000447216
3,51.96,2.00107,2.79628,2.00354,0.63487,0.29166,0.26369,0.19105,2.40335,3.4799,2.83882,0.000671585,0.000671585,0.000671585
4,60.9777,2.0148,2.65134,2.01164,0.18897,0.12184,0.10036,0.09022,3.04697,inf,3.36738,0.000893108,0.000893108,0.000893108
5,70.064,2.01375,2.56931,1.98975,0.3006,0.21032,0.19851,0.08201,2.91834,8.20488,3.31201,0.00097525,0.00097525,0.00097525
6,79.7114,1.9936,2.48532,1.9483,0.13067,0.19318,0.09546,0.04407,2.80029,20.887,3.29834,0.000969063,0.000969063,0.000969063
7,88.7068,1.99309,2.45837,1.98547,0.52286,0.25438,0.1663,0.05731,2.59638,5.81163,2.9039,0.000962875,0.000962875,0.000962875
8,97.7454,1.94225,2.40085,1.92975,0.46773,0.26261,0.26741,0.12502,2.48693,4.13481,2.72865,0.000956688,0.000956688,0.000956688
9,107.433,1.95693,2.44257,1.95387,0.56853,0.25397,0.22651,0.11979,2.51108,4.10867,2.67778,0.0009505,0.0009505,0.0009505
10,115.996,1.97046,2.37444,1.97298,0.41985,0.28141,0.20614,0.10899,2.56108,3.71396,2.73565,0.000944313,0.000944313,0.000944313
11,125.329,1.92723,2.31904,1.91164,0.31118,0.36672,0.11042,0.04627,2.55275,5.50899,2.65131,0.000938125,0.000938125,0.000938125
12,134.558,1.91921,2.28665,1.93437,0.72651,0.31935,0.28119,0.15618,2.51902,3.66891,2.70767,0.000931938,0.000931938,0.000931938
13,143.799,1.90425,2.25567,1.88147,0.69322,0.27449,0.30491,0.16237,2.56689,3.6819,2.63053,0.00092575,0.00092575,0.00092575
