epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9148,2.0883,4.7196,2.05747,0.18172,0.29507,0.18278,0.0782,2.07493,4.31583,2.26286,0.00022,0.00022,0.00022
2,45.3568,1.88856,3.16623,1.94936,0.47138,0.37494,0.26607,0.09716,2.41735,2.97638,2.53867,0.000442575,0.000442575,0.000442575
3,54.7569,1.9707,2.88239,1.96122,0.54735,0.19926,0.18943,0.06873,2.41683,3.16317,2.62043,0.00065756,0.00065756,0.00065756
4,64.21,2.05161,2.72519,2.04336,0.56849,0.20496,0.19508,0.0845,2.60028,5.9377,2.68638,0.000864955,0.000864955,0.000864955
5,74.6686,2.065,2.73057,2.04419,0.12967,0.27682,0.19239,0.07311,2.41325,3.68638,2.73673,0.000934,0.000934,0.000934
6,84.6434,2.06572,2.62433,2.00315,0.30829,0.1926,0.20061,0.07933,2.2538,6.76245,2.48246,0.0009175,0.0009175,0.0009175
7,94.4497,2.00938,2.54245,2.01367,0.80604,0.20611,0.22168,0.08046,2.45247,3.50969,2.62713,0.000901,0.000901,0.000901
8,103.853,1.99672,2.50571,1.99178,0.50562,0.32628,0.2778,0.09552,2.23358,3.36987,2.32265,0.0008845,0.0008845,0.0008845
9,113.627,1.95668,2.46729,1.98976,0.51169,0.23745,0.2214,0.07882,2.32349,3.0253,2.34451,0.000868,0.000868,0.000868
10,123.324,1.95885,2.44085,2.01206,0.54191,0.21418,0.25036,0.09396,2.09673,3.1432,2.26771,0.0008515,0.0008515,0.0008515
11,132.831,1.93519,2.38886,1.93165,0.37713,0.33597,0.2097,0.0924,2.09755,2.92004,2.324,0.000835,0.000835,0.000835
12,142.485,1.95374,2.41574,1.94579,0.59746,0.33015,0.31539,0.14947,2.11232,3.04709,2.33148,0.0008185,0.0008185,0.0008185
13,152.474,1.87532,2.3399,1.90628,0.68848,0.27159,0.34896,0.14694,2.05406,2.68343,2.30784,0.000802,0.000802,0.000802
14,162.285,1.99742,2.4223,2.00747,0.6851,0.38471,0.38982,0.17347,2.02428,2.35353,2.21159,0.0007855,0.0007855,0.0007855
15,172.117,1.87203,2.27224,1.89041,0.48482,0.38975,0.3346,0.1247,2.08279,2.36932,2.13392,0.000769,0.000769,0.000769
16,181.922,1.84802,2.25844,1.85445,0.54922,0.38607,0.32229,0.13329,2.20984,3.01233,2.23602,0.0007525,0.0007525,0.0007525
17,191.822,1.84711,2.24836,1.89798,0.60232,0.40881,0.45664,0.18329,2.06715,2.26054,2.19944,0.000736,0.000736,0.000736
18,201.422,1.75726,2.17085,1.828,0.54552,0.42246,0.39209,0.19194,2.10926,2.24385,2.25747,0.0007195,0.0007195,0.0007195
19,210.809,1.83123,2.23549,1.87127,0.84799,0.31705,0.41055,0.18982,1.97833,2.09306,2.14588,0.000703,0.000703,0.000703
20,220.719,1.82399,2.18012,1.87061,0.65543,0.38793,0.43744,0.19784,2.08619,2.2837,2.18779,0.0006865,0.0006865,0.0006865
21,230.502,1.8094,2.09209,1.82756,0.55599,0.31485,0.31858,0.14366,2.02726,2.31558,2.12626,0.00067,0.00067,0.00067
22,239.813,1.74113,2.07301,1.80065,0.63291,0.44831,0.41575,0.17738,1.94906,2.1627,2.09463,0.0006535,0.0006535,0.0006535
23,250.084,1.77822,2.06332,1.79351,0.54501,0.39527,0.45056,0.22266,2.03814,2.20834,2.15793,0.000637,0.000637,0.000637
24,260.021,1.72518,1.93719,1.79504,0.74393,0.30857,0.37127,0.20353,2.11817,2.25022,2.28992,0.0006205,0.0006205,0.0006205
25,269.971,1.77117,2.03942,1.82859,0.65471,0.41714,0.46854,0.2343,2.0507,2.0599,2.21254,0.000604,0.000604,0.000604
26,279.502,1.6311,1.89074,1.74917,0.5968,0.3858,0.38081,0.16118,2.07479,2.27284,2.21093,0.0005875,0.0005875,0.0005875
27,289.686,1.75962,1.96823,1.80903,0.65713,0.44941,0.44403,0.17934,1.99133,2.39121,2.10994,0.000571,0.000571,0.000571
28,299.694,1.70127,1.91158,1.77025,0.40608,0.48158,0.42356,0.20489,2.11054,2.36921,2.18647,0.0005545,0.0005545,0.0005545
29,309.285,1.63523,1.79657,1.7224,0.79995,0.36678,0.45836,0.23025,2.04846,2.10672,2.13406,0.000538,0.000538,0.000538
30,319.076,1.61956,1.84865,1.74453,0.39774,0.49334,0.40065,0.1806,2.06073,2.12776,2.15675,0.0005215,0.0005215,0.0005215
31,328.271,1.65131,1.84709,1.73145,0.40493,0.40257,0.43322,0.19571,2.06305,2.14831,2.10158,0.000505,0.000505,0.000505
32,338.887,1.53481,1.72169,1.65477,0.61999,0.58513,0.5103,0.23406,1.94761,1.92569,2.02512,0.0004885,0.0004885,0.0004885
33,348.469,1.63327,1.76306,1.70726,0.47076,0.47273,0.46459,0.21393,1.93683,2.04752,2.01207,0.000472,0.000472,0.000472
34,358.223,1.63604,1.74495,1.6923,0.74475,0.43081,0.48054,0.23108,2.00356,2.00731,2.14495,0.0004555,0.0004555,0.0004555
35,367.797,1.63132,1.85571,1.73032,0.67225,0.47322,0.456,0.20846,1.96124,1.99134,2.10056,0.000439,0.000439,0.000439
36,377.768,1.54789,1.65187,1.62343,0.62317,0.55182,0.46946,0.20458,2.07467,2.00233,2.19109,0.0004225,0.0004225,0.0004225
37,387.183,1.56433,1.70749,1.66163,0.43149,0.50061,0.5007,0.25129,2.0393,2.01686,2.14554,0.000406,0.000406,0.000406
38,397.499,1.49305,1.62257,1.63064,0.67189,0.44439,0.4763,0.25773,2.13379,1.93526,2.30579,0.0003895,0.0003895,0.0003895
39,407.308,1.55854,1.64144,1.65203,0.74233,0.55242,0.56621,0.29077,2.10889,1.93332,2.21808,0.000373,0.000373,0.000373
40,417.809,1.51092,1.57263,1.61786,0.56788,0.65824,0.5548,0.26262,2.02736,1.85605,2.15225,0.0003565,0.0003565,0.0003565
41,427.679,1.50672,1.57621,1.6598,0.59538,0.63107,0.59474,0.28562,1.9742,1.93317,2.10221,0.00034,0.00034,0.00034
42,437.84,1.4611,1.51738,1.6153,0.63143,0.61573,0.53458,0.23976,2.01195,1.87152,2.07301,0.0003235,0.0003235,0.0003235
43,447.475,1.44067,1.56549,1.58946,0.62987,0.52935,0.52179,0.2582,1.99084,1.9385,2.07709,0.000307,0.000307,0.000307
