epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4844,2.19057,4.59051,2.20548,0.52277,0.30399,0.24119,0.11464,2.22574,4.46342,2.51821,0.00016665,0.00016665,0.00016665
2,33.7848,1.86473,3.10209,1.92729,0.59257,0.29081,0.28992,0.14119,2.10521,3.44917,2.38751,0.000343046,0.000343046,0.000343046
3,40.0641,1.90981,2.52881,1.88609,0.56287,0.24795,0.27983,0.12803,2.46776,2.89134,2.58265,0.000518034,0.000518034,0.000518034
4,45.8276,2.02946,2.59838,1.96934,0.49917,0.25608,0.17511,0.08896,2.46908,3.42288,2.55739,0.000691615,0.000691615,0.000691615
5,51.5687,2.04062,2.52105,2.08182,0.37608,0.32812,0.25311,0.09969,2.47179,3.31852,3.00195,0.000863787,0.000863787,0.000863787
6,57.4785,2.01082,2.54986,2.05371,0.40866,0.27294,0.17118,0.08339,2.87634,4.09789,3.37616,0.00103455,0.00103455,0.00103455
7,63.3958,2.05772,2.52866,2.05577,0.00047,0.04516,0.00032,8e-05,4.49515,354.959,49.0588,0.0010846,0.0010846,0.0010846
8,69.2386,2.06177,2.4329,1.99736,0.46683,0.11359,0.03335,0.00666,3.19707,11.066,4.34055,0.0010802,0.0010802,0.0010802
9,74.5002,1.99479,2.3101,1.99101,0.59171,0.20714,0.17217,0.08054,2.67335,22.4524,3.03156,0.0010758,0.0010758,0.0010758
10,80.5321,2.01846,2.31004,2.04089,0.81625,0.15645,0.15739,0.05906,3.05384,5.26729,3.07134,0.0010714,0.0010714,0.0010714
11,86.0628,2.00856,2.40584,1.98602,0.7523,0.2129,0.16122,0.05759,2.87689,4.82742,3.03834,0.001067,0.001067,0.001067
12,92.3287,1.87497,2.31,1.91686,0.75622,0.20161,0.20828,0.10958,2.52486,5.50249,2.61039,0.0010626,0.0010626,0.0010626
13,98.0608,1.9166,2.22498,1.97257,0.39378,0.34665,0.18637,0.08727,2.60556,3.91465,2.74702,0.00105821,0.00105821,0.00105821
14,103.96,1.94542,2.28495,1.95067,0.36268,0.23018,0.20998,0.09106,2.71167,4.23769,2.81404,0.00105381,0.00105381,0.00105381
15,109.735,1.94911,2.3223,1.9744,0.62154,0.15556,0.17752,0.08808,2.57776,3.70764,2.72221,0.00104941,0.00104941,0.00104941
16,115.286,1.86713,2.25048,1.96846,0.52189,0.25507,0.2358,0.07514,2.45774,3.20865,2.54289,0.00104501,0.00104501,0.00104501
17,121.596,1.86422,2.26414,1.93727,0.67128,0.23442,0.25894,0.11829,2.22493,3.26052,2.42913,0.00104061,0.00104061,0.00104061
18,126.934,1.91085,2.36536,2.02757,0.42513,0.34879,0.26952,0.12447,2.34758,2.92085,2.55838,0.00103621,0.00103621,0.00103621
19,133.455,1.94328,2.23058,1.9766,0.44747,0.26429,0.24667,0.12106,2.36552,3.4563,2.51608,0.00103181,0.00103181,0.00103181
20,138.88,1.84649,2.08987,1.90539,0.46777,0.33098,0.27684,0.123,2.30809,2.94859,2.41167,0.00102741,0.00102741,0.00102741
21,145.101,1.82953,2.14997,1.87283,0.53362,0.22491,0.28151,0.13506,2.30402,3.10997,2.45922,0.00102301,0.00102301,0.00102301
22,150.691,1.86398,2.11953,1.95039,0.41722,0.38464,0.25167,0.11641,2.30618,3.14393,2.4887,0.00101861,0.00101861,0.00101861
23,156.909,1.85478,2.10306,1.90104,0.54185,0.3393,0.35434,0.13948,2.3604,2.60234,2.44531,0.00101421,0.00101421,0.00101421
24,162.895,1.80195,2.07819,1.8782,0.484,0.36916,0.32248,0.1325,2.3748,2.50617,2.44157,0.00100981,0.00100981,0.00100981
25,168.845,1.79351,2.0126,1.93231,0.37058,0.36768,0.36524,0.16945,2.39079,2.72763,2.48862,0.00100541,0.00100541,0.00100541
26,175.059,1.7577,1.97075,1.83593,0.29609,0.34706,0.36197,0.17151,2.36846,2.51373,2.48371,0.00100101,0.00100101,0.00100101
27,180.908,1.7667,1.96594,1.84415,0.56908,0.39455,0.38469,0.15779,2.44414,2.56385,2.48373,0.000996611,0.000996611,0.000996611
28,187.134,1.79634,2.04083,1.83641,0.38285,0.28704,0.30772,0.14758,2.43961,2.84797,2.54693,0.000992212,0.000992212,0.000992212
29,192.467,1.75142,1.87802,1.82824,0.7189,0.34147,0.38046,0.17046,2.40342,2.95615,2.52351,0.000987812,0.000987812,0.000987812
30,198.486,1.78142,1.92127,1.85822,0.6507,0.36455,0.37706,0.18891,2.3867,2.70135,2.49554,0.000983413,0.000983413,0.000983413
31,204.159,1.7166,1.88516,1.77844,0.37592,0.34071,0.36128,0.18942,2.29756,2.70427,2.42825,0.000979013,0.000979013,0.000979013
32,210.372,1.74496,1.86429,1.8375,0.56259,0.41099,0.36656,0.16226,2.47677,2.72487,2.55103,0.000974614,0.000974614,0.000974614
33,216.05,1.69404,1.8108,1.76873,0.5562,0.34037,0.34014,0.15201,2.39555,2.58021,2.61626,0.000970214,0.000970214,0.000970214
34,222.083,1.74517,1.84887,1.80561,0.34536,0.34754,0.3353,0.14999,2.32568,2.57365,2.56138,0.000965815,0.000965815,0.000965815
35,227.739,1.7092,1.791,1.73944,0.63065,0.39131,0.39033,0.15532,2.44047,2.43725,2.67457,0.000961415,0.000961415,0.000961415
36,233.597,1.68688,1.72491,1.75201,0.50242,0.41966,0.35171,0.17797,2.15881,2.387,2.43644,0.000957015,0.000957015,0.000957015
37,239.238,1.73863,1.85683,1.80978,0.53565,0.37256,0.3521,0.15506,2.3481,2.47107,2.53676,0.000952616,0.000952616,0.000952616
38,244.749,1.64094,1.72959,1.76321,0.63441,0.36492,0.38815,0.17642,2.32149,2.38181,2.59566,0.000948216,0.000948216,0.000948216
39,250.935,1.68262,1.8065,1.76833,0.45344,0.42267,0.40465,0.19438,2.28256,2.39816,2.45827,0.000943817,0.000943817,0.000943817
40,256.417,1.71449,1.84614,1.82885,0.66512,0.30607,0.37625,0.15858,2.36595,2.5162,2.43716,0.000939417,0.000939417,0.000939417
41,262.445,1.67342,1.71928,1.7176,0.38907,0.42835,0.41831,0.22248,2.27257,2.40755,2.39916,0.000935018,0.000935018,0.000935018
42,268.058,1.6527,1.73697,1.72423,0.53368,0.35507,0.40929,0.20594,2.17422,2.52735,2.33185,0.000930618,0.000930618,0.000930618
43,274.125,1.62359,1.76775,1.73596,0.66052,0.39368,0.42849,0.19107,2.35879,2.43097,2.48991,0.000926218,0.000926218,0.000926218
44,279.722,1.61035,1.68,1.72588,0.45121,0.42077,0.34672,0.13467,2.28236,2.62223,2.39243,0.000921819,0.000921819,0.000921819
45,285.983,1.63809,1.69984,1.67632,0.67443,0.38722,0.46354,0.16695,2.46456,2.43694,2.56721,0.000917419,0.000917419,0.000917419
46,291.603,1.63429,1.7725,1.72743,0.71048,0.38354,0.4542,0.24152,2.20496,2.36718,2.34791,0.00091302,0.00091302,0.00091302
47,297.423,1.5825,1.62491,1.6954,0.66939,0.37898,0.40183,0.22155,2.34551,2.46808,2.49619,0.00090862,0.00090862,0.00090862
48,303.156,1.63129,1.62251,1.68907,0.73326,0.45236,0.49556,0.23546,2.22823,2.20868,2.35541,0.000904221,0.000904221,0.000904221
49,308.642,1.67443,1.65769,1.69365,0.67236,0.30428,0.38608,0.17503,2.32303,2.37002,2.41853,0.000899821,0.000899821,0.000899821
50,314.989,1.61253,1.61237,1.67085,0.32679,0.36331,0.34875,0.16772,2.35626,2.6669,2.40193,0.000895422,0.000895422,0.000895422
51,320.465,1.55432,1.56371,1.64261,0.46481,0.37542,0.36868,0.17454,2.40642,2.39559,2.53095,0.000891022,0.000891022,0.000891022
52,326.52,1.55952,1.5463,1.64976,0.45249,0.3794,0.39161,0.17334,2.43967,2.45227,2.53506,0.000886622,0.000886622,0.000886622
53,332.193,1.62165,1.58708,1.72515,0.664,0.3538,0.40781,0.17377,2.46972,2.25323,2.57038,0.000882223,0.000882223,0.000882223
54,338.241,1.63211,1.71536,1.72771,0.40596,0.3839,0.39926,0.20478,2.37502,2.20679,2.44634,0.000877823,0.000877823,0.000877823
55,343.929,1.61917,1.51356,1.70782,0.42912,0.36849,0.41699,0.20186,2.3313,2.26074,2.4669,0.000873424,0.000873424,0.000873424
56,349.944,1.54893,1.447,1.63727,0.6293,0.47263,0.48851,0.22899,2.3717,2.17258,2.50814,0.000869024,0.000869024,0.000869024
57,355.871,1.57096,1.58656,1.66415,0.44511,0.53345,0.4649,0.20916,2.36102,2.19907,2.41591,0.000864625,0.000864625,0.000864625
